Raw Top Left, -0.5321914, -0.552274, -0.4518606, -0.4819846, -0.5020673, -0.5121087, -0.5121087, -0.5020673, -0.5422328, -0.5823981, -0.6426462, -0.552274, -0.6727702, -0.753101, -0.7631423, -0.8033077, -0.753101, -0.7330183, -0.7028943, -0.7631423, -0.8033077, -0.7731837, -0.7832251, -0.7631423, -0.7430596, -0.753101, -0.7832251, -0.7330183, -0.7631423, -0.7731837, -0.7731837, -0.6828116, -0.6928529, -0.7932664, -0.722977, -0.7430596, -0.7430596, -0.7631423, -0.8233904, -0.7129356, -0.7330183, -0.7932664, -0.7832251, -0.7330183, -0.753101, -0.7430596, -0.7832251, -0.7631423, -0.7731837, -0.7028943, -0.7731837, -0.7832251, -0.7631423, -0.7731837, -0.7028943, -0.8334318, -0.6225635, -0.7631423, -0.8133491, -0.7731837, -0.7129356, -0.7430596, -0.7832251, -0.7330183, -0.7731837, -0.753101, -0.722977, -0.722977, -0.7330183, -0.7631423, -0.7631423, -0.7430596, -0.8233904, -0.7932664, -0.7631423, -0.7832251, -0.7731837, -0.8033077, -0.7932664, -0.722977, -0.7430596, -0.7028943, -0.7631423, -0.7631423, -0.8233904, -0.722977, -0.7731837, -0.7731837, -0.7731837, -0.753101, -0.7731837, -0.722977, -0.7932664, -0.753101, -0.7631423, -0.722977, -0.7631423, -0.7330183, -0.8133491, -0.7330183, -0.753101, -0.7731837, -0.7430596, -0.7832251, -0.7832251, -0.8033077, -0.722977, -0.8033077, -0.8033077, -0.7932664, -0.7129356, -0.7631423, -0.8133491, -0.7731837, -0.7832251, -0.7932664, -0.7430596, -0.7731837, -0.7330183, -0.7731837, -0.7430596, -0.753101, -0.7832251, -0.7932664, -0.7932664, -0.7631423, -0.8233904, -0.7330183, -0.7932664, -0.7631423, -0.6526875, -0.8033077, -0.7832251, -0.8133491, -0.753101, -0.7028943, -0.7430596, -0.8033077, -0.7430596, -0.8233904, -0.722977, -0.7430596, -0.7430596, -0.7430596, -0.753101, -0.753101, -0.7832251, -0.722977, -0.7832251, -0.8334318, -0.7731837, -0.7330183, -0.753101, -0.7129356, -0.7932664, -0.8233904, -0.8033077, -0.8635558, -0.753101, -0.7932664, -0.7731837, -0.7631423, -0.7631423, -0.7430596, -0.7832251, -0.753101, -0.8334318, -0.7631423, -0.6627289, -0.7631423, -0.8033077, -0.7832251, -0.7932664, -0.753101, -0.7832251, -0.7832251, -0.7731837, -0.7631423, -0.7731837, -0.7330183, -0.7430596, -0.7330183, -0.722977, -0.722977, -0.753101, -0.9137626, -0.7832251, -0.7932664, -0.7731837, -0.7631423, -0.7832251, -0.722977, -0.7832251, -0.7631423, -0.7330183, -0.7430596, -0.7330183, -0.7932664, -0.7932664, -0.7631423, -0.7330183, -0.7832251, -0.7731837, -0.8033077, -0.7731837, -0.8133491, -0.7631423, -0.722977
Raw Top Right, 1.210137, 1.210137, 1.142369, 1.171412, 1.161731, 1.200456, 1.161731, 1.15205, 1.055239, 0.9390661, 0.9197039, 0.8132119, 0.832574, 0.7841685, 0.8035308, 0.7648064, 0.7744875, 0.726082, 0.8035308, 0.7648064, 0.7648064, 0.8132119, 0.8132119, 0.822893, 0.8035308, 0.8132119, 0.8035308, 0.8132119, 0.7841685, 0.8132119, 0.7938496, 0.7841685, 0.7744875, 0.822893, 0.8616173, 0.8422551, 0.7938496, 0.832574, 0.8422551, 0.8616173, 0.832574, 0.822893, 0.7938496, 0.7744875, 0.8035308, 0.8519362, 0.8712984, 0.822893, 0.8422551, 0.8422551, 0.7744875, 0.8519362, 0.8035308, 0.8035308, 0.8519362, 0.822893, 0.5324602, 0.7357631, 0.6583143, 0.6970387, 0.7648064, 0.6873576, 0.6873576, 0.7164009, 0.6970387, 0.7164009, 0.7454442, 0.6970387, 0.7164009, 0.7067198, 0.7454442, 0.7164009, 0.7067198, 0.726082, 0.6679955, 0.7067198, 0.7454442, 0.726082, 0.7454442, 0.6873576, 0.726082, 0.6776766, 0.7648064, 0.7067198, 0.726082, 0.6970387, 0.7648064, 0.7357631, 0.726082, 0.6679955, 0.6970387, 0.7357631, 0.7454442, 0.726082, 0.7648064, 0.726082, 0.726082, 0.7744875, 0.7648064, 0.5905467, 0.7357631, 0.7067198, 0.7454442, 0.6970387, 0.6970387, 0.6776766, 0.7551253, 0.6776766, 0.7357631, 0.6873576, 0.6970387, 0.7454442, 0.6970387, 0.7357631, 0.7648064, 0.726082, 0.7067198, 0.6970387, 0.726082, 0.6970387, 0.726082, 0.7357631, 0.726082, 0.7551253, 0.6583143, 0.6679955, 0.7164009, 0.7067198, 0.7164009, 0.7067198, 0.7551253, 0.6873576, 0.726082, 0.7164009, 0.726082, 0.6873576, 0.7164009, 0.7357631, 0.7551253, 0.6970387, 0.6970387, 0.726082, 0.7067198, 0.7454442, 0.7744875, 0.6486332, 0.7067198, 0.7357631, 0.7067198, 0.7648064, 0.7454442, 0.7067198, 0.6970387, 0.726082, 0.7841685, 0.726082, 0.7648064, 0.726082, 0.5905467, 0.7454442, 0.6776766, 0.7164009, 0.6583143, 0.7357631, 0.6776766, 0.6679955, 0.7357631, 0.6583143, 0.7067198, 0.6970387, 0.7067198, 0.7067198, 0.6486332, 0.6776766, 0.726082, 0.7067198, 0.6679955, 0.7551253, 0.726082, 0.6486332, 0.7067198, 0.726082, 0.7357631, 0.6970387, 0.726082, 0.2904328, 0.7551253, 0.6679955, 0.6486332, 0.726082, 0.6486332, 0.6873576, 0.7067198, 0.6970387, 0.6486332, 0.6679955, 0.6776766, 0.6873576, 0.7067198, 0.6873576, 0.7551253, 0.7164009, 0.7067198, 0.7454442, 0.6873576, 0.6970387, 0.6873576, 0.726082
Raw Bottom Left, -0.7718391, -0.7425287, -0.8206897, -0.7718391, -0.6936781, -0.7522988, -0.7522988, -0.7522988, -0.8206897, -0.9477012, -0.9086207, -0.8890805, -0.8988506, -0.8793104, -0.8793104, -0.9379311, -0.9183908, -0.9379311, -0.9574713, -0.9770115, -0.9183908, -0.9281609, -0.9183908, -0.9281609, -0.9183908, -0.9477012, -0.9086207, -0.9183908, -0.9574713, -0.9770115, -0.9574713, -0.9183908, -0.9281609, -0.8988506, -0.9086207, -0.9183908, -0.8402299, -0.9574713, -0.9281609, -0.9183908, -0.9770115, -0.9086207, -0.9281609, -0.9086207, -0.9086207, -0.9086207, -0.9183908, -0.9086207, -0.9281609, -0.8890805, -0.9086207, -0.9574713, -0.9281609, -0.8402299, -0.9183908, -0.8793104, -0.4103448, -0.9574713, -0.8695402, -0.9477012, -0.9477012, -0.9770115, -0.8988506, -0.9477012, -0.9086207, -0.8695402, -0.9086207, -0.9086207, -0.9379311, -0.8988506, -0.9477012, -0.8793104, -0.8890805, -0.9086207, -0.9867816, -0.9183908, -0.9086207, -0.8988506, -0.9281609, -0.9183908, -0.8597701, -0.9281609, -0.9574713, -0.8695402, -0.9770115, -0.8890805, -0.9281609, -0.9477012, -0.9379311, -0.9770115, -0.9477012, -0.9086207, -0.9183908, -0.8793104, -0.8695402, -0.9183908, -0.8695402, -0.9281609, -0.9086207, -0.595977, -0.9086207, -0.8793104, -0.85, -0.8988506, -0.8695402, -0.9379311, -0.8890805, -0.9672414, -0.9770115, -0.8793104, -0.9379311, -0.9086207, -0.9183908, -0.9379311, -0.9086207, -0.9281609, -0.9086207, -0.9770115, -0.8793104, -0.9379311, -0.9183908, -0.8890805, -0.8890805, -0.9086207, -0.9574713, -0.9281609, -0.9477012, -0.9379311, -0.9183908, 2.247126, -0.8304598, -0.8988506, -0.9574713, -0.9965518, -0.8793104, -0.9379311, -0.8890805, -0.9183908, -0.9183908, -0.9183908, -0.9183908, -0.9477012, -0.8793104, -0.9183908, -0.9574713, -0.8793104, -0.8988506, -0.9086207, -0.9086207, -0.9281609, -0.8793104, -0.9574713, -0.8695402, -0.9379311, -0.9477012, -0.9574713, -0.9477012, -0.9477012, 3.761494, -0.8109195, -0.9281609, -0.9770115, -0.9086207, -0.9379311, -0.8695402, -1.006322, -0.8793104, -0.9281609, -0.9281609, -0.9477012, -0.8890805, -0.9574713, -0.8793104, -0.9379311, -0.8695402, -0.9477012, -0.8695402, -0.9379311, -0.9867816, -0.8890805, -0.9086207, -0.9379311, -0.9086207, -0.8597701, -0.9379311, -0.2344828, -0.9183908, -0.9281609, -0.9379311, -0.9183908, -0.9477012, -0.9867816, -0.9183908, -0.9574713, -0.9086207, -0.8695402, -0.9281609, -0.8988506, -0.8988506, -0.9867816, -0.8890805, -0.8695402, -0.9183908, -0.85, -0.9183908, -0.9965518, -0.9086207, -0.9281609
Raw Bottom Right, -0.2402487, -0.2498587, -0.2882985, -0.2018089, -0.2210288, -0.1729791, -0.2306388, -0.1441492, -0.2786885, -0.4228378, -0.4516676, -0.5477671, -0.4036179, -0.4516676, -0.4516676, -0.4324477, -0.4420577, -0.4420577, -0.4420577, -0.4420577, -0.4901074, -0.4420577, -0.4804974, -0.4324477, -0.4132278, -0.4036179, -0.4516676, -0.4516676, -0.4036179, -0.4420577, -0.4420577, -0.4420577, -0.4708875, -0.4228378, -0.4324477, -0.4997174, -0.4324477, -0.4036179, -0.4036179, -0.4324477, -0.4804974, -0.4612775, -0.4228378, -0.4516676, -0.384398, -0.4516676, -0.4612775, -0.3363482, -0.4516676, -0.384398, -0.4228378, -0.4804974, -0.4324477, -0.4420577, -0.4420577, -0.4420577, -0.3459582, -0.4804974, -0.4420577, -0.4516676, -0.4612775, -0.4612775, -0.4420577, -0.4901074, -0.4516676, -0.4228378, -0.4516676, -0.4228378, -0.4516676, -0.4516676, -0.4420577, -0.4036179, -0.4804974, -0.4516676, -0.4228378, -0.3651781, -0.4612775, -0.4228378, -0.4804974, -0.4420577, -0.4228378, -0.4420577, -0.4228378, -0.4516676, -0.4420577, -0.4324477, -0.4228378, -0.5477671, -0.4324477, -0.4228378, -0.4612775, -0.4420577, -0.384398, -0.4612775, -0.374788, -0.4804974, -0.4228378, -0.4036179, -0.4420577, -0.3651781, -0.4612775, -0.4420577, -0.3651781, -0.4420577, -0.4612775, -0.4420577, -0.4132278, -0.4324477, -0.4901074, -0.4324477, -0.4612775, -0.4612775, -0.4516676, -0.3940079, -0.4324477, -0.4132278, -0.4804974, -0.4324477, -0.4324477, -0.4612775, -0.4420577, -0.4901074, -0.4708875, -0.4036179, -0.4708875, -0.4708875, -0.4324477, -0.4612775, -0.4420577, -0.4516676, -0.5285472, -0.4516676, -0.4804974, -0.4516676, -0.4228378, -0.5189372, -0.4132278, -0.4708875, -0.4324477, -0.4804974, -0.4708875, -0.4036179, -0.4516676, -0.4228378, -0.4420577, -0.4420577, -0.4804974, -0.4901074, -0.4228378, -0.4516676, -0.4516676, -0.4420577, -0.4324477, -0.4132278, -0.4804974, -0.4516676, -0.384398, -0.4516676, 0.8360656, -0.4228378, -0.4612775, -0.4804974, -0.4420577, -0.4420577, -0.4036179, -0.4708875, -0.4324477, -0.4420577, -0.4420577, -0.4420577, -0.4324477, -0.4997174, -0.4036179, -0.4036179, -0.4804974, -0.4516676, -0.4132278, -0.4420577, -0.4420577, -0.4612775, -0.4132278, -0.4228378, -0.4804974, -0.4612775, -0.374788, -0.2306388, -0.4036179, -0.5093273, -0.4804974, -0.4420577, -0.3940079, -0.4132278, -0.4420577, -0.4804974, -0.3555681, -0.4516676, -0.4420577, -0.4516676, -0.3555681, -0.4228378, -0.3940079, -0.4036179, -0.4228378, -0.4804974, -0.4708875, -0.4324477, -0.4132278, -0.5189372
Time, 39855106.84, 39855168.5386, 39855230.1655, 39855291.9754, 39855353.761, 39855415.8038, 39855479.4418, 39855540.5331, 39855602.5216, 39855663.826, 39855725.7472, 39855787.5492, 39855850.1605, 39855911.7839, 39855973.7087, 39856036.3871, 39856098.5516, 39856160.4278, 39856222.0337, 39856284.099, 39856345.7602, 39856408.1175, 39856470.8487, 39856532.4437, 39856593.8308, 39856655.8985, 39856733.33, 39856796.1243, 39856872.6678, 39856934.6453, 39856997.3623, 39857059.5456, 39857121.5327, 39857183.9547, 39857246.2366, 39857308.3671, 39857369.1632, 39857430.3871, 39857491.9317, 39857552.8197, 39857614.4317, 39857677.4707, 39857738.9177, 39857800.468, 39857862.8866, 39857925.1517, 39857986.4654, 39858047.5581, 39858109.5519, 39858185.8105, 39858246.9448, 39858309.8359, 39858371.7845, 39858432.8237, 39858495.811, 39858559.1895, 39858620.7226, 39858682.5888, 39858744.7392, 39858807.4921, 39858868.5739, 39858929.3674, 39858991.709, 39859052.721, 39859114.9713, 39859177.3921, 39859238.87, 39859300.1444, 39859360.4989, 39859421.5433, 39859484.3152, 39859546.039, 39859622.5272, 39859683.446, 39859745.1953, 39859806.4143, 39859868.659, 39859930.4591, 39859992.3848, 39860054.0368, 39860114.9679, 39860177.2534, 39860238.5431, 39860299.9809, 39860360.3263, 39860423.0821, 39860483.8937, 39860546.5869, 39860608.5029, 39860684.9357, 39860748.5288, 39860810.368, 39860872.6454, 39860934.8695, 39860996.9122, 39861058.2607, 39861119.3513, 39861181.8507, 39861244.1201, 39861306.6637, 39861368.1466, 39861430.2989, 39861490.7506, 39861552.0497, 39861613.6605, 39861675.6594, 39861737.562, 39861799.5032, 39861862.8799, 39861925.0673, 39861987.4105, 39862049.2552, 39862110.4834, 39862173.3239, 39862234.8898, 39862297.5469, 39862359.3557, 39862421.9886, 39862483.7274, 39862546.2457, 39862622.6688, 39862683.7659, 39862746.2385, 39862808.2056, 39862871.0669, 39862932.613, 39862993.7934, 39863056.2029, 39863118.6029, 39863181.7567, 39863244.0712, 39863305.5732, 39863367.5507, 39863430.4314, 39863491.8231, 39863553.4185, 39863614.1937, 39863676.7343, 39863738.5561, 39863801.7852, 39863863.7453, 39863925.8957, 39863987.3872, 39864048.4238, 39864111.3739, 39864173.6569, 39864236.6565, 39864298.1772, 39864359.7523, 39864422.6162, 39864485.3086, 39864547.5663, 39864608.859, 39864670.7449, 39864748.3656, 39864808.8716, 39864870.569, 39864932.783, 39864994.4111, 39865054.9869, 39865117.7649, 39865179.4878, 39865240.395, 39865301.5123, 39865363.6917, 39865425.0551, 39865487.4128, 39865549.3578, 39865611.7339, 39865674.2668, 39865735.636, 39865798.8013, 39865860.6994, 39865922.7936, 39865983.8498, 39866045.7639, 39866123.901, 39866201.8775, 39866263.7899, 39866324.9657, 39866387.5575, 39866449.531, 39866511.7054, 39866573.9316, 39866635.5833, 39866698.5443, 39866760.5979, 39866822.8357, 39866884.8957, 39866946.3946, 39867009.0437, 39867070.9071, 39867132.1577, 39867193.9059, 39867256.5721, 39867318.5544, 39867381.1087, 39867443.8951, 39867506.4648, 39867570.6946, 39867629.7345, 39867692.4149, 39867753.8007, 39867814.5603, 39867877.4745, 39867939.8236, 39868000.9651, 39868062.4566
Spacebar clicks, 39858593.3003, 39861258.2239, 39863178.4356, 39864985.433, 39866659.178
